"ItemType","Path","SizeBytes","SizeHuman","Category","LastAccessTime","LastWriteTime","RiskLevel","SuggestedAction","EstimatedReleaseBytes","EstimatedReleaseHuman","Reason","Hash","DuplicateGroup"
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\Qwen_Image\qwenImageFp8E4m3fn_v10.safetensors","20430635136","19.03 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/23 20:04:39","中风险","需要用户确认","20430635136","19.03 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\超梦AdamMix_Qwen丨开放版-真实二次元幻想CG大模型丨多模态千问修仙科幻古风小说_v1.safetensors","2567350050","2.39 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/20 10:49:01","中风险","需要用户确认","2567350050","2.39 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\超人古风推文大模型_超人古风推文大模型v1.safetensors","2175122068","2.03 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/20 0:32:47","中风险","需要用户确认","2175122068","2.03 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\古风色彩丨人物场景_1.0.safetensors","2400065730","2.24 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/11 15:50:29","中风险","需要用户确认","2400065730","2.24 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\鬼灵 FLUX-V3丨中式恐怖武侠古风悬疑神话鬼怪电商万圣节_v2 (sd1.5）.safetensors","2299934404","2.14 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/20 10:44:49","中风险","需要用户确认","2299934404","2.14 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\国风3 GuoFeng3_v3.4.safetensors","2299933688","2.14 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/20 13:31:02","中风险","需要用户确认","2299933688","2.14 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\国风山水工笔插画_v1.0.safetensors","2132627790","1.99 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/20 16:27:42","中风险","需要用户确认","2132627790","1.99 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\佳人如画 古风_G2.safetensors","2132626090","1.99 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/20 12:12:42","中风险","需要用户确认","2132626090","1.99 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\芦柑二次元国风敦煌质感模型_0.1.safetensors","2132626806","1.99 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/20 16:08:37","中风险","需要用户确认","2132626806","1.99 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\猫爪_二次元现代国风1.5_测试用.safetensors","5738112152","5.34 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/20 16:21:28","中风险","需要用户确认","5738112152","5.34 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\墨烟古风-欢颜丹青V4_欢颜丹青V4.safetensors","2400041838","2.24 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/20 12:36:33","中风险","需要用户确认","2400041838","2.24 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\七夜-写实 摄影大模型_女生写实V1.safetensors","2132627382","1.99 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/11/14 22:45:17","中风险","需要用户确认","2132627382","1.99 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\奇辞奥旨_五色幻世.safetensors","2400042364","2.24 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/20 19:18:25","中风险","需要用户确认","2400042364","2.24 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\奇辞奥旨_V2未裁剪版本.safetensors","4998146492","4.65 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/20 17:33:53","中风险","需要用户确认","4998146492","4.65 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\守望 古风动漫 1.0_守望 古风动漫v1.safetensors","2132651052","1.99 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/11 13:50:14","中风险","需要用户确认","2132651052","1.99 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\守望古风插画 2.0_守望 古风插画v2.safetensors","2400040634","2.24 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/11 13:41:54","中风险","需要用户确认","2400040634","2.24 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\abyssorangemix3AOM3_aom3a1b.safetensors","2132626071","1.99 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/9/19 0:42:13","中风险","需要用户确认","2132626071","1.99 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\Anything_v5_PRT_RE.safetensors","2132626102","1.99 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/8/5 11:00:51","中风险","需要用户确认","2132626102","1.99 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\anything_v5.safetensors","2132626102","1.99 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2023/4/2 17:21:47","中风险","需要用户确认","2132626102","1.99 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\chilloutmix_Ni_Pruned_Fp32_Fix.safetensors","4265097179","3.97 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/8/5 12:25:43","中风险","需要用户确认","4265097179","3.97 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\sd1.5\chilloutmix_Ni.safetensors","7703274889","7.17 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:04","2025/8/5 12:43:26","中风险","需要用户确认","7703274889","7.17 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
